mode,n,stride,block,bps,warps_per_sm,occ_pct,time_ms,gb_s,check
coalesced,67108864,1,256,0,48,100.0,1.4582,368.18,ok
strided,67108864,8,256,0,48,100.0,6.2403,86.03,ok
gather,67108864,1,256,0,48,100.0,15.7153,34.16,ok
cpu-seq,16777216,1,256,0,-1,-1.0,9.3358,14.38,ok
cpu-rand,16777216,1,256,0,-1,-1.0,149.4219,0.90,ok
cpu-omp-seq,16777216,1,256,0,-1,-1.0,10.1920,13.17,ok
cpu-omp-rand,16777216,1,256,0,-1,-1.0,63.6445,2.11,ok
